7 7 7 7 7 6 7
8 8 8 8 8 8 8
19 19 20 19 20 20 20
49 19 20 49 50 50 50
9 10 10 10 10 10 10
3 3 3 3 3 2 3
2 2 2 2 2 2 2
19 19 20 19 20 20 20
49 49 50 49 50 50 50
10 10 10 10 10 10 10
19 19 20 19 20 20 20
39 39 40 39 40 40 40
99 99 100 99 100 100 100
10 10 10 10 10 10 10
10 10 10 10 10 10 10
28 28 23 28 28 22 28
12 13 12 12 14 10 14
5 5 4 5 5 3 5
6 6 6 6 6 3 6
1060 1052 1006 1062 1048 992 1042
452 431 399 458 418 364 398
243 232 212 245 231 210 211
113 101 97 121 101 94 106
8 8 8 8 8 8 8
21 25 18 25 26 10 22
151 151 151 91 82 151 91
16 16 16 16 14 16 15
64 71 55 65 41 45 39
30 30 30 30 25 30 23
74 70 70 45 39 64 35
